location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
26900,"Indianapolis-Carmel-Anderson, IN",111,4,39.80781107837838,-86.11755938378379,0.036036036036036036,2026723,0.019736293514209885,6
23060,"Fort Wayne, IN",36,3,41.0918553,-85.0722302,0.08333333333333333,434001,0.06912426469063436,3
11460,"Ann Arbor, MI",83,3,42.2523272,-83.8446336,0.03614457831325301,369208,0.08125501072566141,1
31540,"Madison, WI",101,4,43.0674684,-89.4178523,0.039603960396039604,654577,0.061108166036997945,8
44100,"Springfield, IL",38,4,39.7572579,-89.6620322,0.10526315789473684,209175,0.19122744113780327,14
44180,"Springfield, MO",46,4,37.2581957,-93.3406409,0.08695652173913043,462300,0.08652390222799049,15
45820,"Topeka, KS",44,4,39.0418053,-95.755664,0.09090909090909091,233153,0.17156116369937338,16
30700,"Lincoln, NE",57,5,40.7835474,-96.6886584,0.08771929824561403,331179,0.15097575631305124,7
36420,"Oklahoma City, OK",88,3,35.49116810795454,-97.40018985909091,0.03409090909090909,1383249,0.021688069176265447,9
22020,"Fargo, ND-MN",41,3,46.92351231219512,-97.15999982195122,0.07317073170731707,241619,0.12416242100165964,2
25740,"Helena, MT",31,4,47.1221055,-112.3828899,0.12903225806451613,79786,0.5013410874088186,5
44060,"Spokane-Spokane Valley, WA",75,5,47.63268786,-117.40108899866667,0.06666666666666667,563958,0.08865908454175665,13
36500,"Olympia-Tumwater, WA",59,4,46.9358216,-122.8301524,0.06779661016949153,280289,0.14270984590904387,10
41420,"Salem, OR",74,3,44.90088425945946,-122.59848757027027,0.04054054054054054,424968,0.07059355057321963,12
39740,"Reading, PA",45,3,40.4139565,-75.9268598,0.06666666666666667,417524,0.0718521570017532,11
25540,"Hartford-West Hartford-East Hartford, CT",115,4,41.76659693043479,-72.68871232347827,0.034782608695652174,1206719,0.03314773364801582,4
