location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k
11460,"Ann Arbor, MI",90,15,42.271588888888886,-83.7244,0.16666666666666666,369208,0.40627505362830707
15540,"Burlington-South Burlington, VT",73,13,44.48183561643835,-73.196,0.1780821917808219,218881,0.593930035041872
16820,"Charlottesville, VA",68,36,38.02251470588236,-78.48704411764706,0.5294117647058824,233586,1.541188256145488
20500,"Durham-Chapel Hill, NC",126,64,35.94275396825397,-79.00976984126984,0.5079365079365079,566491,1.1297619909230685
21660,"Eugene, OR",89,13,44.03806741573034,-123.15021348314608,0.14606741573033707,375617,0.3460972213717697
25540,"Hartford-West Hartford-East Hartford, CT",119,16,41.73755462184874,-72.65706722689076,0.13445378151260504,1206719,0.13259093459206328
27260,"Jacksonville, FL",117,30,30.25409401709402,-81.59108547008547,0.2564102564102564,1504841,0.19935660976807515
32820,"Memphis, TN-MS-AR",84,26,35.12564285714286,-90.04929761904762,0.30952380952380953,1347576,0.19293902533140989
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",285,51,44.96612280701754,-93.20209122807017,0.17894736842105263,3592669,0.14195574376598566
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",134,21,36.098425373134326,-86.77161940298507,0.15671641791044777,1900584,0.1104923539291081
35300,"New Haven-Milford, CT",113,16,41.342230088495576,-72.90945132743363,0.1415929203539823,857794,0.18652496986455958
35380,"New Orleans-Metairie, LA",78,17,29.986397435897437,-90.09453846153846,0.21794871794871795,1270465,0.13380927455695354
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",408,65,39.95353921568628,-75.28212009803921,0.15931372549019607,6078451,0.10693513857395576
38300,"Pittsburgh, PA",181,30,40.41624309392265,-79.93314364640884,0.16574585635359115,2330283,0.12873972817893792
38900,"Portland-Vancouver-Hillsboro, OR-WA",282,53,45.5188475177305,-122.70125886524823,0.1879432624113475,2456462,0.21575745930529355
40060,"Richmond, VA",123,28,37.541739837398374,-77.44654471544716,0.22764227642276422,1292911,0.21656556406434782
40900,"Sacramento--Roseville--Arden-Arcade, CA",170,43,38.60834705882353,-121.44635294117647,0.2529411764705882,2320381,0.18531439448952564
41180,"St. Louis, MO-IL",194,54,38.64118556701031,-90.22667525773196,0.27835051546391754,2805850,0.19245504927205662
41860,"San Francisco-Oakland-Hayward, CA",495,66,37.79507070707071,-122.32105858585858,0.13333333333333333,4710693,0.14010677409884278
