location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
20100,"Dover, DE",16,3,39.0970884,-75.5029819,0.1875,176445,0.17002465357476834,9
10900,"Allentown-Bethlehem-Easton, PA-NJ",60,5,40.698238204999996,-75.42660692666666,0.08333333333333333,838081,0.05966010445291088,2
25420,"Harrisburg-Carlisle, PA",92,6,40.37216896413044,-76.86939640869565,0.06521739130434782,571101,0.10506022577442518,11
10420,"Akron, OH",30,3,41.13281453666667,-81.45609414333333,0.1,704367,0.04259143315913437,1
31540,"Madison, WI",101,6,43.0674684,-89.4178523,0.0594059405940594,654577,0.09166224905549691,14
15540,"Burlington-South Burlington, VT",64,3,44.469511096874996,-73.066909978125,0.046875,218881,0.1370607773173551,7
12740,"Barre, VT",63,5,44.2749884,-72.6095138,0.07936507936507936,58283,0.8578830876928092,4
18180,"Concord, NH",48,4,43.2995786,-71.6800412,0.08333333333333333,150169,0.26636656034201467,8
50025,Windham County,16,3,42.9953348,-72.721955,0.1875,42906,0.6992029086841002,17
22660,"Fort Collins, CO",36,4,40.6580933,-105.4867638,0.1111111111111111,343993,0.11628143595945267,10
14500,"Boulder, CO",73,5,40.0949699,-105.3976911,0.0684931506849315,324073,0.1542862256343478,6
14260,"Boise City, ID",66,5,43.46967396363637,-116.29360410454545,0.07575757575757576,710080,0.07041460117169897,5
28420,"Kennewick-Richland, WA",37,3,46.27782055675676,-119.41778656756756,0.08108108108108109,290570,0.10324534535568021,12
31020,"Longview, WA",17,3,46.1967854,-122.6784596,0.17647058823529413,106900,0.2806361085126286,13
36500,"Olympia-Tumwater, WA",59,5,46.9358216,-122.8301524,0.0847457627118644,280289,0.17838730738630484,15
39820,"Redding, CA",25,3,40.7605142,-122.0435556,0.12,179539,0.16709461454057337,16
11260,"Anchorage, AK",61,3,61.301033450819666,-149.32256917213115,0.04918032786885246,400647,0.07487888340609064,3
