place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat
11260,47900,3,"Anchorage, AK",-149.810375,61.2748125,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667
12620,38860,2,"Bangor, ME",-68.76296153846154,44.81384615384616,"Portland-South Portland, ME",-70.28717777777777,43.63619259259259
15540,38860,2,"Burlington-South Burlington, VT",-73.196,44.48183561643835,"Portland-South Portland, ME",-70.28717777777777,43.63619259259259
38860,47900,3,"Portland-South Portland, ME",-70.28717777777777,43.63619259259259,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667
41620,47900,3,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667
47900,38860,3,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,"Portland-South Portland, ME",-70.28717777777777,43.63619259259259
47900,11260,3,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,"Anchorage, AK",-149.810375,61.2748125
47900,41620,3,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,"Salt Lake City, UT",-111.89808843537415,40.74924489795919
49020,47900,1,"Winchester, VA-WV",-78.16475,39.163125,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667
