location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
38940,"Port St. Lucie, FL",21,6,27.182339733333333,-80.41331316666667,0.2857142857142857,473192,0.12679842431824714,17
15980,"Cape Coral-Fort Myers, FL",36,6,26.5590348,-81.8919943,0.16666666666666666,739506,0.08113524433878833,5
35840,"North Port-Sarasota-Bradenton, FL",71,8,27.297442105633806,-82.36695000985915,0.11267605633802817,805139,0.09936172511827152,14
13980,"Blacksburg-Christiansburg-Radford, VA",27,14,37.180278888888886,-80.42725287407407,0.5185185185185185,182692,0.7663170801129771,4
54063,Monroe County,5,5,37.5503396,-80.5478898,1,13373,3.7388768413968445,23
40220,"Roanoke, VA",37,12,37.25887172432432,-79.95391263783785,0.32432432432432434,313488,0.382789771857296,18
16620,"Charleston, WV",55,5,38.31696738,-81.53042554181818,0.09090909090909091,214398,0.2332111307008461,6
25180,"Hagerstown-Martinsburg, MD-WV",21,5,39.5591731,-77.87841507142856,0.23809523809523808,265295,0.18846943968035584,11
29540,"Lancaster, PA",32,8,40.0419921,-76.250198,0.25,541054,0.14785954821515043,12
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",70,11,36.95286021571429,-76.33576511,0.15714285714285714,1724876,0.06377270018250587,22
38340,"Pittsfield, MA",51,16,42.3753141,-73.2139479,0.3137254901960784,126485,1.2649721310827369,16
24640,"Greenfield Town, MA",33,8,42.5845038,-72.5917921,0.24242424242424243,70787,1.1301510164295705,10
12740,"Barre, VT",63,13,44.2749884,-72.6095138,0.20634920634920634,58283,2.230496028001304,2
12300,"Augusta-Waterville, ME",54,8,44.4170119,-69.7657639,0.14814814814814814,121929,0.6561195449810956,1
20260,"Duluth, MN-WI",34,14,47.30405414705882,-92.46439343235295,0.4117647058823529,278659,0.5024061666768345,9
13420,"Bemidji, MN",17,6,47.8795077,-95.00505,0.35294117647058826,46484,1.2907667154289648,3
19780,"Des Moines-West Des Moines, IA",63,6,41.668044293650794,-93.57644839841271,0.09523809523809523,645100,0.09300883583940475,8
17820,"Colorado Springs, CO",68,7,38.82926428088235,-104.55658357058823,0.10294117647058823,725438,0.09649342879749889,7
41620,"Salt Lake City, UT",136,15,40.66641125367647,-111.93306130955882,0.11029411764705882,1205238,0.12445674630239006,20
33540,"Missoula, MT",51,7,47.0272632,-113.8926911,0.13725490196078433,117863,0.5939098784181635,13
36500,"Olympia-Tumwater, WA",59,7,46.9358216,-122.8301524,0.11864406779661017,280289,0.2497422303408268,15
41420,"Salem, OR",74,11,44.90088425945946,-122.59848757027027,0.14864864864864866,424968,0.258843018768472,19
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",48,5,35.3852242,-120.4475445,0.10416666666666667,282838,0.1767796406423465,21
