location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
28940,"Knoxville, TN",53,4,35.976417826415094,-83.94430556981132,0.07547169811320754,875797,0.04567268442344516,4
31500,"Madison, IN",4,2,38.7836039,-85.44009,0.5,32047,0.6240833775392393,5
44420,"Staunton-Waynesboro, VA",29,2,38.1457278137931,-79.05467293793104,0.06896551724137931,121984,0.16395592864637987,11
16820,"Charlottesville, VA",66,5,38.028768146969696,-78.5021666530303,0.07575757575757576,233586,0.21405392446465116,2
23900,"Gettysburg, PA",8,2,39.8694707,-77.2177296,0.25,102367,0.1953754627956275,3
12300,"Augusta-Waterville, ME",54,2,44.4170119,-69.7657639,0.037037037037037035,121929,0.1640298862452739,1
40780,"Russellville, AR",3,2,35.456557,-93.0268181,0.6666666666666666,85199,0.2347445392551556,7
41860,"San Francisco-Oakland-Hayward, CA",453,11,37.70787360794702,-122.45526016401766,0.024282560706401765,4710693,0.023351129016473796,9
41420,"Salem, OR",74,3,44.90088425945946,-122.59848757027027,0.04054054054054054,424968,0.07059355057321963,8
38900,"Portland-Vancouver-Hillsboro, OR-WA",271,17,45.549956054612544,-122.49722467785978,0.06273062730627306,2456462,0.06920522279603755,6
42660,"Seattle-Tacoma-Bellevue, WA",251,5,47.47549453625498,-121.8930187498008,0.0199203187250996,3884469,0.012871772177870387,10
