count
1
453
147
166
204
189
181
204
188
125
167
103
103
167
221
177
221
118
88
63
132
135
67
78
100
93
57
82
137
57
301
257
129
98
245
105
122
172
111
101
96
95
89
71
104
44
107
135
62
41
6
17
68
429
97
88
80
135
297
161
157
1447
648
129
102
210
555
123
120
97
98
84
118
97
150
237
737
74
105
96
85
81
88
80
109
80
106
59
124
139
226
120
79
116
122
244
59
30
58
50
58
43
19
36
107
235
202
64
71
68
198
68
97
159
82
104
122
116
114
102
157
115
111
331
73
104
149
106
100
126
277
106
106
109
121
128
88
73
52
