place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat,topic
14460,41860,13,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,collective_bargaining
15380,41860,6,"Buffalo-Cheektowaga-Niagara Falls, NY",-78.84855102040817,42.909806122448984,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,collective_bargaining
19380,19820,3,"Dayton, OH",-84.1462,39.767466666666664,"Detroit-Warren-Dearborn, MI",-83.15709963099631,42.41526568265683,collective_bargaining
19820,41860,13,"Detroit-Warren-Dearborn, MI",-83.15709963099631,42.41526568265683,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,collective_bargaining
21660,42660,3,"Eugene, OR",-123.15021348314608,44.03806741573034,"Seattle-Tacoma-Bellevue, WA",-122.33397735849056,47.56762264150944,collective_bargaining
22420,33340,3,"Flint, MI",-83.69278260869565,43.004260869565215,"Milwaukee-Waukesha-West Allis, WI",-87.93748148148148,43.03843209876543,collective_bargaining
33340,41860,5,"Milwaukee-Waukesha-West Allis, WI",-87.93748148148148,43.03843209876543,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,collective_bargaining
33460,41860,10,"Minneapolis-St. Paul-Bloomington, MN-WI",-93.20209122807017,44.96612280701754,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,collective_bargaining
35300,33460,4,"New Haven-Milford, CT",-72.90945132743363,41.342230088495576,"Minneapolis-St. Paul-Bloomington, MN-WI",-93.20209122807017,44.96612280701754,collective_bargaining
38300,14460,7,"Pittsburgh, PA",-79.93314364640884,40.41624309392265,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643,collective_bargaining
39300,14460,4,"Providence-Warwick, RI-MA",-71.36549152542372,41.77379661016949,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643,collective_bargaining
41180,41860,8,"St. Louis, MO-IL",-90.22667525773196,38.64118556701031,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,collective_bargaining
41740,41860,8,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,collective_bargaining
41860,19820,13,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,"Detroit-Warren-Dearborn, MI",-83.15709963099631,42.41526568265683,collective_bargaining
41860,14460,13,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643,collective_bargaining
41860,33460,10,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,"Minneapolis-St. Paul-Bloomington, MN-WI",-93.20209122807017,44.96612280701754,collective_bargaining
42660,41860,8,"Seattle-Tacoma-Bellevue, WA",-122.33397735849056,47.56762264150944,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,collective_bargaining
44140,14460,3,"Springfield, MA",-72.5877265625,42.2362265625,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643,collective_bargaining
10580,38060,3,"Albany-Schenectady-Troy, NY",-73.80160689655172,42.72449655172414,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878,education
14860,38060,3,"Bridgeport-Stamford-Norwalk, CT",-73.40778740157481,41.162488188976376,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878,education
16620,23180,3,"Charleston, WV",-81.63950877192983,38.33705263157895,"Frankfort, KY",-84.8758524590164,38.18680327868852,education
23180,38060,7,"Frankfort, KY",-84.8758524590164,38.18680327868852,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878,education
31540,38060,4,"Madison, WI",-89.40021100917431,43.07270642201835,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878,education
36420,38060,4,"Oklahoma City, OK",-97.50632258064516,35.42937634408602,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878,education
38060,23180,7,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878,"Frankfort, KY",-84.8758524590164,38.18680327868852,education
39580,23180,2,"Raleigh, NC",-78.65281052631579,35.7816,"Frankfort, KY",-84.8758524590164,38.18680327868852,education
44140,16620,1,"Springfield, MA",-72.5877265625,42.2362265625,"Charleston, WV",-81.63950877192983,38.33705263157895,education
46060,38060,5,"Tucson, AZ",-110.98072463768116,32.21471014492754,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878,education
46140,36420,3,"Tulsa, OK",-95.96454545454546,36.12283636363637,"Oklahoma City, OK",-97.50632258064516,35.42937634408602,education
12300,12740,3,"Augusta-Waterville, ME",-69.74129310344827,44.37767241379311,"Barre, VT",-72.57854411764706,44.25670588235294,environment
12740,38340,4,"Barre, VT",-72.57854411764706,44.25670588235294,"Pittsfield, MA",-73.24205555555555,42.36072222222222,environment
13980,40220,2,"Blacksburg-Christiansburg-Radford, VA",-80.43162962962963,37.198,"Roanoke, VA",-79.95344736842105,37.245973684210526,environment
15540,12740,3,"Burlington-South Burlington, VT",-73.196,44.48183561643835,"Barre, VT",-72.57854411764706,44.25670588235294,environment
20260,12740,4,"Duluth, MN-WI",-92.17468292682926,46.86973170731707,"Barre, VT",-72.57854411764706,44.25670588235294,environment
