date,week,location,latitude,longitude,location_type,location_id,location_name,collective_bargaining,education,environment,executive,guns,healthcare,immigration,police,race_confed,supreme_court,women,other
1/21/17,1/16/17,"Madison, WI",43.073,-89.401,CBSA,31540,"Madison, WI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Portland, OR",45.523,-122.676,CBSA,38900,"Portland-Vancouver-Hillsboro, OR-WA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Atlanta, GA",33.749,-84.388,CBSA,12060,"Atlanta-Sandy Springs-Roswell, GA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Austin, TX",30.267,-97.743,CBSA,12420,"Austin-Round Rock, TX",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Philadelphia, PA",39.953,-75.165,CBSA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"San Diego, CA",32.716,-117.161,CBSA,41740,"San Diego-Carlsbad, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"San Jose, CA",37.338,-121.886,CBSA,41940,"San Jose-Sunnyvale-Santa Clara, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Sacramento, CA",38.582,-121.494,CBSA,40900,"Sacramento--Roseville--Arden-Arcade, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Des Moines, IA",41.601,-93.609,CBSA,19780,"Des Moines-West Des Moines, IA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Pittsburgh, PA",40.441,-79.996,CBSA,38300,"Pittsburgh, PA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Charlotte, NC",35.227,-80.843,CBSA,16740,"Charlotte-Concord-Gastonia, NC-SC",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Phoenix, AZ",33.448,-112.074,CBSA,38060,"Phoenix-Mesa-Scottsdale, AZ",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Santa Ana, CA",33.746,-117.868,CBSA,31080,"Los Angeles-Long Beach-Anaheim, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Houston, TX",29.76,-95.37,CBSA,26420,"Houston-The Woodlands-Sugar Land, TX",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"St. Petersburg, FL",27.752,-82.627,CBSA,45300,"Tampa-St. Petersburg-Clearwater, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Raleigh, NC",35.78,-78.638,CBSA,39580,"Raleigh, NC",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Lansing, MI",42.733,-84.556,CBSA,29620,"Lansing-East Lansing, MI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Montpelier, VT",44.26,-72.575,CBSA,12740,"Barre, VT",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Nashville, TN",36.163,-86.782,CBSA,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Miami, FL",25.762,-80.192,CBSA,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Tallahassee, FL",30.438,-84.281,CBSA,45220,"Tallahassee, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Cleveland, OH",41.499,-81.694,CBSA,17460,"Cleveland-Elyria, OH",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Tucson, AZ",32.222,-110.926,CBSA,46060,"Tucson, AZ",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Omaha, NE",41.252,-95.998,CBSA,36540,"Omaha-Council Bluffs, NE-IA",0,0,0,0,0,0,0,0,0,0,1,0
