location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
11900,"Athens, OH",27,7,39.3326037,-82.0458439,0.25925925925925924,66664,1.0500420016800671,3
18140,"Columbus, OH",94,15,39.98616735744681,-82.98810763404256,0.1595744680851064,2082475,0.07202967622660536,9
23060,"Fort Wayne, IN",36,9,41.0918553,-85.0722302,0.25,434001,0.20737279407190304,14
29620,"Lansing-East Lansing, MI",68,12,42.603329102941174,-84.38076236176471,0.17647058823529413,480353,0.24981628094338953,19
19340,"Davenport-Moline-Rock Island, IA-IL",35,7,41.565844448571426,-90.57703370571429,0.2,381854,0.18331613653385848,10
44100,"Springfield, IL",38,11,39.7572579,-89.6620322,0.2894736842105263,209175,0.5258754631289589,25
17860,"Columbia, MO",43,9,38.9898614,-92.3102022,0.20930232558139536,178523,0.5041367218789736,8
27620,"Jefferson City, MO",23,7,38.5032331,-92.2800271,0.30434782608695654,151298,0.4626630887387804,16
44180,"Springfield, MO",46,13,37.2581957,-93.3406409,0.2826086956521739,462300,0.28120268224096906,26
30700,"Lincoln, NE",57,17,40.7835474,-96.6886584,0.2982456140350877,331179,0.5133175714643743,20
16940,"Cheyenne, WY",20,7,41.2928302,-104.660395,0.35,98460,0.7109486085720089,7
13740,"Billings, MT",25,7,45.879985227999995,-108.336808232,0.28,170740,0.40998008668150404,6
25740,"Helena, MT",31,8,47.1221055,-112.3828899,0.25806451612903225,79786,1.002682174817637,15
28420,"Kennewick-Richland, WA",37,7,46.27782055675676,-119.41778656756756,0.1891891891891892,290570,0.2409058058299205,18
36500,"Olympia-Tumwater, WA",59,11,46.9358216,-122.8301524,0.1864406779661017,280289,0.3924520762498707,22
21660,"Eugene, OR",84,14,43.9283286,-122.8976901,0.16666666666666666,375617,0.37272008455421346,12
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",48,10,35.3852242,-120.4475445,0.20833333333333334,282838,0.353559281284693,23
42200,"Santa Maria-Santa Barbara, CA",59,10,34.5370572,-120.0399729,0.1694915254237288,445606,0.22441349532995514,24
22020,"Fargo, ND-MN",41,10,46.92351231219512,-97.15999982195122,0.24390243902439024,241619,0.41387473667219876,13
20260,"Duluth, MN-WI",34,7,47.30405414705882,-92.46439343235295,0.20588235294117646,278659,0.25120308333841723,11
12740,"Barre, VT",63,11,44.2749884,-72.6095138,0.1746031746031746,58283,1.8873427929241802,5
31700,"Manchester-Nashua, NH",31,7,42.9115317,-71.7230554,0.22580645161290322,413157,0.16942711850458786,21
12700,"Barnstable Town, MA",28,7,41.7990145,-70.2118803,0.25,213482,0.3278964971285635,4
27940,"Juneau, AK",32,7,58.6435233,-134.2811673,0.21875,32061,2.1833380119147874,17
11260,"Anchorage, AK",61,13,61.301033450819666,-149.32256917213115,0.21311475409836064,400647,0.32447516142639277,2
02122,Kenai Peninsula Borough,18,7,60.3666677,-152.3222833,0.3888888888888889,58522,1.1961313693995421,1
