location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
27260,"Jacksonville, FL",109,12,30.24619844678899,-81.60651851651376,0.11009174311926606,1504841,0.07974264390723006,11
12060,"Atlanta-Sandy Springs-Roswell, GA",167,20,33.793766115568864,-84.44034074610778,0.11976047904191617,5874249,0.03404690540016264,2
13820,"Birmingham-Hoover, AL",27,8,33.5534439,-86.8965359,0.2962962962962963,1149685,0.06958427743251412,3
35380,"New Orleans-Metairie, LA",75,8,30.042653725333334,-89.96424079066668,0.10666666666666667,1270465,0.06296907037974285,15
46140,"Tulsa, OK",52,6,36.11816486730769,-95.93546391923077,0.11538461538461539,991610,0.06050765926120148,25
36420,"Oklahoma City, OK",88,8,35.49116810795454,-97.40018985909091,0.09090909090909091,1383249,0.05783485113670785,16
41180,"St. Louis, MO-IL",187,47,38.63965343101604,-90.26547390160428,0.25133689839572193,2805850,0.1675071725145678,21
16980,"Chicago-Naperville-Elgin, IL-IN-WI",386,31,41.92133177512953,-87.8070955919689,0.08031088082901554,9520784,0.032560343770008854,6
43780,"South Bend-Mishawaka, IN-MI",37,7,41.6176989,-86.2881592,0.1891891891891892,321447,0.21776529256767058,23
31540,"Madison, WI",101,9,43.0674684,-89.4178523,0.0891089108910891,654577,0.13749337358324534,12
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",265,41,45.00210212226415,-93.30116941622641,0.15471698113207547,3592669,0.1141212842040277,13
17140,"Cincinnati, OH-KY-IN",73,12,39.1986688,-84.52041975616439,0.1643835616438356,2179858,0.05504945734997417,7
17460,"Cleveland-Elyria, OH",99,8,41.69329144949495,-81.74866196969697,0.08080808080808081,2058549,0.03886232487057631,8
38300,"Pittsburgh, PA",173,23,40.43270033121387,-79.92217578265895,0.1329479768786127,2330283,0.09870045827051907,19
25420,"Harrisburg-Carlisle, PA",92,6,40.37216896413044,-76.86939640869565,0.06521739130434782,571101,0.10506022577442518,10
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",387,39,39.96862823074935,-75.27554377183462,0.10077519379844961,6078451,0.06416108314437345,17
35300,"New Haven-Milford, CT",108,8,41.3497173,-72.9002037,0.07407407407407407,857794,0.09326248493227979,14
10580,"Albany-Schenectady-Troy, NY",139,13,42.685700010791365,-73.95248113165468,0.09352517985611511,882130,0.14737056896375816,1
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",92,6,42.8292776847826,-78.77970853695653,0.06521739130434782,1129660,0.0531133261335269,4
16740,"Charlotte-Concord-Gastonia, NC-SC",94,8,35.23345546170213,-80.87490713723405,0.0851063829787234,2524863,0.03168488745726006,5
17820,"Colorado Springs, CO",68,7,38.82926428088235,-104.55658357058823,0.10294117647058823,725438,0.09649342879749889,9
38060,"Phoenix-Mesa-Scottsdale, AZ",189,21,33.33295342539682,-112.45968759206349,0.1111111111111111,4761694,0.044101951952393414,18
40900,"Sacramento--Roseville--Arden-Arcade, CA",163,37,38.521903890797546,-121.31771369325153,0.22699386503067484,2320381,0.15945657200261507,20
41860,"San Francisco-Oakland-Hayward, CA",453,36,37.70787360794702,-122.45526016401766,0.07947019867549669,4710693,0.07642187678118698,22
44060,"Spokane-Spokane Valley, WA",75,8,47.63268786,-117.40108899866667,0.10666666666666667,563958,0.14185453526681063,24
