place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat
14460,41860,13,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071
15380,41860,6,"Buffalo-Cheektowaga-Niagara Falls, NY",-78.84855102040817,42.909806122448984,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071
19380,19820,3,"Dayton, OH",-84.1462,39.767466666666664,"Detroit-Warren-Dearborn, MI",-83.15709963099631,42.41526568265683
19820,41860,13,"Detroit-Warren-Dearborn, MI",-83.15709963099631,42.41526568265683,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071
21660,42660,3,"Eugene, OR",-123.15021348314608,44.03806741573034,"Seattle-Tacoma-Bellevue, WA",-122.33397735849056,47.56762264150944
22420,33340,3,"Flint, MI",-83.69278260869565,43.004260869565215,"Milwaukee-Waukesha-West Allis, WI",-87.93748148148148,43.03843209876543
33340,41860,5,"Milwaukee-Waukesha-West Allis, WI",-87.93748148148148,43.03843209876543,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071
33460,41860,10,"Minneapolis-St. Paul-Bloomington, MN-WI",-93.20209122807017,44.96612280701754,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071
35300,33460,4,"New Haven-Milford, CT",-72.90945132743363,41.342230088495576,"Minneapolis-St. Paul-Bloomington, MN-WI",-93.20209122807017,44.96612280701754
38300,14460,7,"Pittsburgh, PA",-79.93314364640884,40.41624309392265,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643
39300,14460,4,"Providence-Warwick, RI-MA",-71.36549152542372,41.77379661016949,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643
41180,41860,8,"St. Louis, MO-IL",-90.22667525773196,38.64118556701031,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071
41740,41860,8,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071
41860,19820,13,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,"Detroit-Warren-Dearborn, MI",-83.15709963099631,42.41526568265683
41860,14460,13,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643
41860,33460,10,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071,"Minneapolis-St. Paul-Bloomington, MN-WI",-93.20209122807017,44.96612280701754
42660,41860,8,"Seattle-Tacoma-Bellevue, WA",-122.33397735849056,47.56762264150944,"San Francisco-Oakland-Hayward, CA",-122.32105858585858,37.79507070707071
44140,14460,3,"Springfield, MA",-72.5877265625,42.2362265625,"Boston-Cambridge-Newton, MA-NH",-71.06360045146727,42.41779232505643
