week,count,perc
2017-01-09,1,4.99425660490436e-5
2017-01-16,453,0.02262398242021675
2017-01-23,147,0.007341557209209409
2017-01-30,166,0.008290465964141238
2017-02-06,204,0.010188283474004894
2017-02-13,189,0.00943914498326924
2017-02-20,181,0.009039604454876891
2017-02-27,204,0.010188283474004894
2017-03-06,188,0.009389202417220197
2017-03-13,125,0.00624282075613045
2017-03-20,167,0.008340408530190281
2017-03-27,103,0.005144084303051491
2017-04-03,103,0.005144084303051491
2017-04-10,167,0.008340408530190281
2017-04-17,221,0.011037307096838636
2017-04-24,177,0.008839834190680717
2017-05-01,221,0.011037307096838636
2017-05-08,118,0.0058932227937871446
2017-05-15,88,0.004394945812315837
2017-05-22,63,0.003146381661089747
2017-05-29,132,0.006592418718473755
2017-06-05,135,0.006742246416620886
2017-06-12,67,0.003346151925285921
2017-06-19,78,0.0038955201518254007
2017-06-26,100,0.00499425660490436
2017-07-03,93,0.004644658642561055
2017-07-10,57,0.0028467262647954854
2017-07-17,82,0.004095290416021575
2017-07-24,137,0.0068421315487189735
2017-07-31,57,0.0028467262647954854
2017-08-07,301,0.015032712380762123
2017-08-14,257,0.012835239474604205
2017-08-21,129,0.006442591020326624
2017-08-28,98,0.004894371472806273
2017-09-04,245,0.012235928682015682
2017-09-11,105,0.005243969435149578
2017-09-18,122,0.006092993057983319
2017-09-25,172,0.008590121360435498
2017-10-02,111,0.00554362483144384
2017-10-09,101,0.005044199170953403
2017-10-16,96,0.004794486340708185
2017-10-23,95,0.004744543774659142
2017-10-30,89,0.00444488837836488
2017-11-06,71,0.0035459221894820958
2017-11-13,104,0.005194026869100535
2017-11-20,44,0.0021974729061579185
2017-11-27,107,0.005343854567247665
2017-12-04,135,0.006742246416620886
2017-12-11,62,0.003096439095040703
2017-12-18,41,0.0020476452080107877
2017-12-25,6,2.996553962942616e-4
2018-01-01,17,8.490236228337411e-4
2018-01-08,68,0.0033960944913349646
2018-01-15,429,0.021425360835039705
2018-01-22,97,0.004844428906757229
2018-01-29,88,0.004394945812315837
2018-02-05,80,0.003995405283923488
2018-02-12,135,0.006742246416620886
2018-02-19,297,0.01483294211656595
2018-02-26,161,0.008040753133896019
2018-03-05,157,0.007840982869699845
2018-03-12,1447,0.07226689307296609
2018-03-19,648,0.032362782799780256
2018-03-26,129,0.006442591020326624
2018-04-02,102,0.005094141737002447
2018-04-09,210,0.010487938870299156
2018-04-16,555,0.027718124157219196
2018-04-23,123,0.006142935624032363
2018-04-30,120,0.005993107925885232
2018-05-07,97,0.004844428906757229
2018-05-14,98,0.004894371472806273
2018-05-21,84,0.004195175548119662
2018-05-28,118,0.0058932227937871446
2018-06-04,97,0.004844428906757229
2018-06-11,150,0.00749138490735654
2018-06-18,237,0.011836388153623333
2018-06-25,737,0.03680767117814513
2018-07-02,74,0.0036957498876292265
2018-07-09,105,0.005243969435149578
2018-07-16,96,0.004794486340708185
2018-07-23,85,0.004245118114168706
2018-07-30,81,0.004045347849972532
2018-08-06,88,0.004394945812315837
2018-08-13,80,0.003995405283923488
2018-08-20,109,0.005443739699345753
2018-08-27,80,0.003995405283923488
2018-09-03,106,0.0052939120011986215
2018-09-10,59,0.0029466113968935723
2018-09-17,124,0.006192878190081406
2018-09-24,139,0.00694201668081706
2018-10-01,226,0.011287019927083853
2018-10-08,120,0.005993107925885232
2018-10-15,79,0.003945462717874444
2018-10-22,116,0.005793337661689058
2018-10-29,122,0.006092993057983319
2018-11-05,244,0.012185986115966638
2018-11-12,59,0.0029466113968935723
2018-11-19,30,0.001498276981471308
2018-11-26,58,0.002896668830844529
2018-12-03,50,0.00249712830245218
2018-12-10,58,0.002896668830844529
2018-12-17,43,0.0021475303401088746
2018-12-24,19,9.489087549318284e-4
2018-12-31,36,0.0017979323777655696
2019-01-07,107,0.005343854567247665
2019-01-14,235,0.011736503021525246
2019-01-21,202,0.010088398341906807
2019-01-28,64,0.0031963242271387904
2019-02-04,71,0.0035459221894820958
2019-02-11,68,0.0033960944913349646
2019-02-18,198,0.009888628077710633
2019-02-25,68,0.0033960944913349646
2019-03-04,97,0.004844428906757229
2019-03-11,159,0.007940868001797932
2019-03-18,82,0.004095290416021575
2019-03-25,104,0.005194026869100535
2019-04-01,122,0.006092993057983319
2019-04-08,116,0.005793337661689058
2019-04-15,114,0.005693452529590971
2019-04-22,102,0.005094141737002447
2019-04-29,157,0.007840982869699845
2019-05-06,115,0.005743395095640014
2019-05-13,111,0.00554362483144384
2019-05-20,331,0.01653098936223343
2019-05-27,73,0.0036458073215801827
2019-06-03,104,0.005194026869100535
2019-06-10,149,0.0074414423413074965
2019-06-17,106,0.0052939120011986215
2019-06-24,100,0.00499425660490436
2019-07-01,126,0.006292763322179494
2019-07-08,277,0.013834090795585077
2019-07-15,106,0.0052939120011986215
2019-07-22,106,0.0052939120011986215
2019-07-29,109,0.005443739699345753
2019-08-05,121,0.006043050491934276
2019-08-12,128,0.006392648454277581
2019-08-19,88,0.004394945812315837
2019-08-26,73,0.0036458073215801827
2019-09-02,52,0.0025970134345502673
