topic,count,perc_of_state_protest,state,percentile,high_low
other,379,0.1517,CA,0.7843137254901961,middle
other,16,0.078,VT,0.0392156862745098,low
other,63,0.1312,MN,0.6078431372549019,middle
other,48,0.097,VA,0.0784313725490196,low
other,49,0.1263,WI,0.5490196078431373,middle
other,51,0.1311,MO,0.5686274509803921,middle
other,54,0.1074,CO,0.1568627450980392,middle
other,40,0.1198,GA,0.4117647058823529,middle
other,131,0.1359,PA,0.7058823529411765,middle
other,287,0.191,NY,0.9607843137254902,high
other,79,0.1312,IL,0.6078431372549019,middle
other,118,0.1608,MA,0.8627450980392157,middle
other,75,0.124,OR,0.5294117647058824,middle
other,107,0.1182,TX,0.39215686274509803,middle
other,30,0.1027,IA,0.09803921568627451,low
other,64,0.1081,NC,0.19607843137254902,middle
other,23,0.0682,AZ,0.0196078431372549,low
other,104,0.1358,MI,0.6862745098039216,middle
other,19,0.1234,NE,0.5098039215686274,middle
other,27,0.113,NM,0.2549019607843137,middle
other,31,0.1902,LA,0.9411764705882353,high
other,23,0.1162,MT,0.3137254901960784,middle
other,40,0.1347,ME,0.6470588235294118,middle
other,24,0.1348,NV,0.6666666666666666,middle
other,19,0.108,OK,0.17647058823529413,middle
other,20,0.1342,AL,0.6274509803921569,middle
other,39,0.1102,KY,0.21568627450980393,middle
other,16,0.2,AR,0.9803921568627451,high
other,65,0.1167,NJ,0.35294117647058826,middle
other,16,0.1584,RI,0.8431372549019608,middle
other,58,0.4793,HI,1,high
other,14,0.1111,ID,0.23529411764705882,middle
other,26,0.1635,NH,0.8823529411764706,middle
other,26,0.1722,KS,0.9215686274509803,high
other,7,0.1207,SD,0.45098039215686275,middle
other,23,0.1179,AK,0.37254901960784315,middle
other,10,0.1149,MS,0.29411764705882354,middle
other,20,0.1042,WV,0.13725490196078433,middle
other,36,0.1513,SC,0.7647058823529411,middle
other,8,0.1231,ND,0.49019607843137253,middle
other,8,0.1039,WY,0.11764705882352941,middle
other,13,0.1646,DE,0.9019607843137255,high
race_confed,29,0.1184,MD,0.74,middle
race_confed,71,0.204,TN,0.94,high
race_confed,53,0.1359,IN,0.82,middle
race_confed,57,0.1,OH,0.58,middle
race_confed,44,0.1111,CT,0.72,middle
race_confed,34,0.0904,DC,0.4,middle
race_confed,67,0.0907,WA,0.42,middle
race_confed,117,0.1106,FL,0.7,middle
race_confed,20,0.0901,UT,0.38,middle
race_confed,231,0.0924,CA,0.44,middle
race_confed,20,0.0976,VT,0.54,middle
race_confed,62,0.1292,MN,0.78,middle
race_confed,96,0.1939,VA,0.92,high
race_confed,40,0.1031,WI,0.64,middle
race_confed,67,0.1722,MO,0.86,middle
race_confed,37,0.0736,CO,0.26,middle
race_confed,64,0.1916,GA,0.9,middle
race_confed,130,0.1349,PA,0.8,middle
race_confed,116,0.0772,NY,0.28,middle
race_confed,61,0.1013,IL,0.62,middle
race_confed,57,0.0777,MA,0.3,middle
race_confed,65,0.1074,OR,0.68,middle
race_confed,116,0.1282,TX,0.76,middle
race_confed,15,0.0514,IA,0.18,middle
race_confed,122,0.2061,NC,0.96,high
race_confed,32,0.095,AZ,0.48,middle
race_confed,72,0.094,MI,0.46,middle
race_confed,5,0.0325,NE,0.08,low
race_confed,23,0.0962,NM,0.5,middle
race_confed,30,0.184,LA,0.88,middle
race_confed,13,0.0657,MT,0.22,middle
race_confed,29,0.0976,ME,0.54,middle
race_confed,6,0.0337,NV,0.1,middle
race_confed,15,0.0852,OK,0.36,middle
race_confed,32,0.2148,AL,1,high
race_confed,29,0.0819,KY,0.34,middle
race_confed,8,0.1,AR,0.58,middle
race_confed,56,0.1005,NJ,0.6,middle
race_confed,8,0.0792,RI,0.32,middle
race_confed,2,0.0159,ID,0.02,low
race_confed,6,0.0377,NH,0.14,middle
race_confed,11,0.0728,KS,0.24,middle
race_confed,1,0.0172,SD,0.04,low
race_confed,4,0.0205,AK,0.06,low
race_confed,18,0.2069,MS,0.98,high
race_confed,7,0.0365,WV,0.12,middle
race_confed,34,0.1429,SC,0.84,middle
race_confed,3,0.0462,ND,0.16,middle
race_confed,8,0.1039,WY,0.66,middle
race_confed,5,0.0633,DE,0.2,middle
