location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
28940,"Knoxville, TN",53,4,35.976417826415094,-83.94430556981132,0.07547169811320754,875797,0.04567268442344516,9
30460,"Lexington-Fayette, KY",55,3,38.04220768181818,-84.46804431454545,0.05454545454545454,512732,0.05851009884306031,10
18140,"Columbus, OH",94,5,39.98616735744681,-82.98810763404256,0.05319148936170213,2082475,0.02400989207553512,4
17460,"Cleveland-Elyria, OH",99,4,41.69329144949495,-81.74866196969697,0.04040404040404041,2058549,0.019431162435288155,2
44300,"State College, PA",23,3,40.9091603,-77.8478297,0.13043478260869565,162250,0.18489984591679506,17
39300,"Providence-Warwick, RI-MA",111,4,41.79659436036036,-71.48685305675676,0.036036036036036036,1617057,0.024736295628416317,13
41180,"St. Louis, MO-IL",187,8,38.63965343101604,-90.26547390160428,0.0427807486631016,2805850,0.02851185915141579,14
17860,"Columbia, MO",43,3,38.9898614,-92.3102022,0.06976744186046512,178523,0.16804557395965786,3
28140,"Kansas City, MO-KS",74,4,38.99758154594594,-94.4389992972973,0.05405405405405406,2127259,0.01880354014250263,8
48620,"Wichita, KS",34,3,37.681045,-97.4610535,0.08823529411764706,644949,0.04651530586139369,18
36420,"Oklahoma City, OK",88,5,35.49116810795454,-97.40018985909091,0.056818181818181816,1383249,0.03614678196044241,12
12420,"Austin-Round Rock, TX",216,12,30.240524131018518,-97.70256376296297,0.05555555555555555,2115230,0.0567314192782818,1
32820,"Memphis, TN-MS-AR",78,3,35.154290366666665,-89.91262927435898,0.038461538461538464,1347576,0.022262195230547295,11
26980,"Iowa City, IA",52,5,41.6688774,-91.5889245,0.09615384615384616,171470,0.29159619758558347,7
19780,"Des Moines-West Des Moines, IA",63,3,41.668044293650794,-93.57644839841271,0.047619047619047616,645100,0.046504417919702376,5
43620,"Sioux Falls, SD",21,3,43.6674723,-96.7957261,0.14285714285714285,260521,0.1151538647556243,15
20420,"Durango, CO",22,3,37.2873673,-107.8397178,0.13636363636363635,55541,0.5401415170774743,6
44060,"Spokane-Spokane Valley, WA",75,3,47.63268786,-117.40108899866667,0.04,563958,0.053195450725053994,16
