place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat
10740,41740,9,"Albuquerque, NM",-106.62495789473684,35.09246315789474,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
11700,39300,6,"Asheville, NC",-82.56243421052632,35.53222368421053,"Providence-Warwick, RI-MA",-71.36549152542372,41.77379661016949
12420,41740,15,"Austin-Round Rock, TX",-97.74724347826087,30.261165217391305,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
12420,21340,14,"Austin-Round Rock, TX",-97.74724347826087,30.261165217391305,"El Paso, TX",-106.4204375,31.729275
12700,40380,2,"Barnstable Town, MA",-70.27407142857143,41.738142857142854,"Rochester, NY",-77.54141791044776,43.10271641791045
15540,41740,8,"Burlington-South Burlington, VT",-73.196,44.48183561643835,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
21340,41740,16,"El Paso, TX",-106.4204375,31.729275,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
21340,12420,14,"El Paso, TX",-106.4204375,31.729275,"Austin-Round Rock, TX",-97.74724347826087,30.261165217391305
21340,38900,15,"El Paso, TX",-106.4204375,31.729275,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305
24340,41740,10,"Grand Rapids-Wyoming, MI",-85.75851470588236,42.93430882352941,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
25540,41740,8,"Hartford-West Hartford-East Hartford, CT",-72.65706722689076,41.73755462184874,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
29740,21340,9,"Las Cruces, NM",-106.75246511627907,32.28618604651163,"El Paso, TX",-106.4204375,31.729275
32580,38900,6,"McAllen-Edinburg-Mission, TX",-98.24469565217392,26.20491304347826,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305
33340,21340,9,"Milwaukee-Waukesha-West Allis, WI",-87.93748148148148,43.03843209876543,"El Paso, TX",-106.4204375,31.729275
37100,38900,8,"Oxnard-Thousand Oaks-Ventura, CA",-119.11948837209303,34.24288372093023,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305
38900,21340,15,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305,"El Paso, TX",-106.4204375,31.729275
39300,41940,10,"Providence-Warwick, RI-MA",-71.36549152542372,41.77379661016949,"San Jose-Sunnyvale-Santa Clara, CA",-121.98383974358974,37.352634615384616
39580,41740,11,"Raleigh, NC",-78.65281052631579,35.7816,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
40380,38900,8,"Rochester, NY",-77.54141791044776,43.10271641791045,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305
41740,21340,16,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,"El Paso, TX",-106.4204375,31.729275
41740,12420,15,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,"Austin-Round Rock, TX",-97.74724347826087,30.261165217391305
41940,41740,13,"San Jose-Sunnyvale-Santa Clara, CA",-121.98383974358974,37.352634615384616,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
42200,38900,10,"Santa Maria-Santa Barbara, CA",-119.97866153846154,34.575723076923076,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305
46060,41740,10,"Tucson, AZ",-110.98072463768116,32.21471014492754,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089
